Player,Position,Team,KeeperRound,AcquisitionType,DraftTeam,IsPriorKeeper
"Brian Branch",DB,DET,13,"Drafted (Round 13)","Billy Goat Tavern",NO
"Trey Benson",RB,ARI,13,"Drafted (Round 13)","Rafi Bomb Returns!",NO
"Hollywood Brown",WR,KC,13,"Drafted (Round 13)","No Talent Ass Clowns",NO
"Joe Mixon",RB,HOU,13,"Drafted (Round 13)","Oroszlanok",NO
"Aidan Hutchinson",DL,DET,13,"Drafted (Round 13)","Dumpster Fire",NO
"Rico Dowdle",RB,DAL,14,"Drafted (Round 14)","Dumpster Fire",NO
"Justin Fields",QB,PIT,14,"Drafted (Round 14)","Oroszlanok",NO
"Baker Mayfield",QB,TB,14,"Drafted (Round 14)","No Talent Ass Clowns",NO
"Bobby Okereke",LB,NYG,14,"Drafted (Round 14)","Rafi Bomb Returns!",NO
"Nick Bolton",LB,KC,14,"Drafted (Round 14)","Billy Goat Tavern",NO
"Tyler Bass",K,BUF,14,"Drafted (Round 14)","MombaMentality",NO
"Jamien Sherwood",LB,NYJ,14,"Drafted (Round 14)","Fat Lazy Americans",NO
"Brandon Aubrey",K,DAL,14,"Drafted (Round 14)","Postino's Banditos",NO
"C.J. Stroud",QB,HOU,14,"Drafted (Round 14)","Wailin Raylans",NO
"Elic Ayomanor",WR,TEN,14,"Drafted (Round 14)","Berserker",NO
"Micah Parsons",LB,DAL,14,"Drafted (Round 14)","I LIKE BIG TDS",NO
"J.J. McCarthy",QB,MIN,14,"Drafted (Round 14)","Kona’s Kickers",NO
"Pat Bryant",WR,DEN,15,"Drafted (Round 15)","Kona’s Kickers",NO
"Maxx Crosby",DL,LV,15,"Drafted (Round 15)","I LIKE BIG TDS",NO
"Drake Maye",QB,NE,15,"Drafted (Round 15)","Berserker",NO
"Ernest Jones IV",LB,SEA,15,"Drafted (Round 15)","Wailin Raylans",NO
"Jordyn Brooks",LB,MIA,15,"Drafted (Round 15)","Postino's Banditos",NO
"Rachaad White",RB,TB,15,"Drafted (Round 15)","Fat Lazy Americans",NO
