Player,Position,Team,DraftTeam,AcquisitionType,AcquisitionDate,AcquiredAfterWeek11
"Trey McBride",TE,ARI,"Fat Lazy Americans","Drafted","Drafted (Round 2)",NO
"Jaxon Smith-Njigba",WR,SEA,"Fat Lazy Americans","Drafted","Drafted (Round 6)",NO
"Andy Borregales",K,NE,"Fat Lazy Americans","Free Agent Pickup","Waiver Pickup",NO
"Foyesade Oluokun",LB,JAX,"Fat Lazy Americans","Drafted","Drafted (Round 12)",NO
"Jamien Sherwood",LB,NYJ,"Fat Lazy Americans","Drafted","Drafted (Round 14)",NO
"Alex Singleton",LB,DEN,"Fat Lazy Americans","Drafted","Drafted (Round 13)",NO
"Joe Burrow",QB,CIN,"Fat Lazy Americans","Drafted","Drafted (Round 3)",NO
"Breece Hall",RB,NYJ,"Fat Lazy Americans","Drafted","Drafted (Round 4)",NO
"Kyle Monangai",RB,CHI,"Fat Lazy Americans","Free Agent Pickup","Waiver Pickup",NO
"Oronde Gadsden",TE,LAC,"Fat Lazy Americans","Free Agent Pickup","Waiver Pickup",NO
"Jayden Reed",WR,GB,"Fat Lazy Americans","Free Agent Pickup","Waiver Pickup",NO
"Brian Robinson",RB,ATL,"Fat Lazy Americans","Free Agent Pickup","Waiver Pickup",NO
"Jordan Love",QB,GB,"I LIKE BIG TDS","Drafted","Drafted (Round 10)",NO
"Puka Nacua",WR,LAR,"I LIKE BIG TDS","Drafted","Drafted (Round 8)",NO
"Romeo Doubs",WR,GB,"I LIKE BIG TDS","Free Agent Pickup","Waiver Pickup",NO
"Saquon Barkley",RB,PHI,"I LIKE BIG TDS","Drafted","Drafted (Round 1)",NO
"Omarion Hampton",RB,CAR,"I LIKE BIG TDS","Drafted","Drafted (Round 2)",NO
"Jake Ferguson",TE,DAL,"I LIKE BIG TDS","Drafted","Drafted (Round 12)",NO
"Michael Carter",RB,ARI,"I LIKE BIG TDS","Free Agent Pickup","Waiver Pickup",NO
"Chris Boswell",K,PIT,"I LIKE BIG TDS","Free Agent Pickup","Waiver Pickup",NO
"DeMarcus Lawrence",DL,DAL,"I LIKE BIG TDS","Free Agent Pickup","Waiver Pickup",NO
"Dallas Turner",LB,MIN,"I LIKE BIG TDS","Free Agent Pickup","Waiver Pickup",NO
"Nik Bonitto",LB,DEN,"I LIKE BIG TDS","Free Agent Pickup","Waiver Pickup",NO
"Devaughn Vele",WR,DEN,"I LIKE BIG TDS","Free Agent Pickup","Waiver Pickup",NO
"Patrick Mahomes",QB,KC,"I LIKE BIG TDS","Drafted","Drafted (Round 4)",NO
"Kimani Vidal",RB,LAC,"I LIKE BIG TDS","Free Agent Pickup","Waiver Pickup",NO
"Rhamondre Stevenson",RB,NE,"I LIKE BIG TDS","Drafted","Drafted (Round 9)",NO
"Dalton Schultz",TE,HOU,"I LIKE BIG TDS","Free Agent Pickup","Waiver Pickup",NO
"Luther Burden III",WR,CAR,"MombaMentality","Drafted","Drafted (Round 13)",NO
"Jacoby Brissett",QB,NE,"MombaMentality","Free Agent Pickup","Waiver Pickup",NO
"Ja'Marr Chase",WR,CIN,"Kona’s Kickers","Drafted","Drafted (Round 1)",NO
"Michael Wilson",WR,ARI,"MombaMentality","Free Agent Pickup","Waiver Pickup",NO
"Jaylen Warren",RB,PIT,"Kona’s Kickers","Drafted","Drafted (Round 4)",NO
"Travis Etienne Jr.",RB,JAX,"Kona’s Kickers","Drafted","Drafted (Round 7)",NO
"Davis Allen",TE,LAR,"Kona’s Kickers","Free Agent Pickup","Waiver Pickup",NO
"Jameson Williams",WR,DET,"Kona’s Kickers","Drafted","Drafted (Round 5)",NO
"Jason Myers",K,SEA,"Kona’s Kickers","Free Agent Pickup","Waiver Pickup",NO
"Nate Landman",LB,ATL,"Kona’s Kickers","Free Agent Pickup","Waiver Pickup",NO
"Zack Baun",LB,PHI,"Kona’s Kickers","Drafted","Drafted (Round 11)",NO
