OverallRank,Round,Player,Position,Team,TheLeagueProjPoints,VORP,GenericHalfPPRPoints,KeeperStatus
197,17,Brian Burns,DL,NYG,114.1,-18.8,168.7,
198,17,Michael Wilson,WR,ARI,144.1,-19,144.1,
199,17,D.J. Reed Jr.,DB,DET,113.8,-19.1,172.9,
200,17,Xavier Watts,DB,ATL,113.7,-19.2,172.5,
201,17,Quentin Johnston,WR,LAC,143.8,-19.3,143.9,
202,17,Cooper DeJean,DB,PHI,113.6,-19.3,172.6,
203,17,Dax Hill,DB,CIN,113.6,-19.3,170.4,
204,17,Jalen Thompson,DB,DAL,113.4,-19.5,170.9,
205,18,A.J. Terrell Jr.,DB,ATL,113,-19.9,172.6,
206,18,Cole Bishop,DB,BUF,112.7,-20.2,169.9,
207,18,Minkah Fitzpatrick,DB,NYJ,112.5,-20.4,170.6,
208,18,Jeffery Simmons,DL,TEN,112.4,-20.5,168.1,
209,18,Kyle Monangai,RB,CHI,144.5,-20.6,144.4,
210,18,Ronnie Hickman Jr.,DB,CLE,112.2,-20.7,169.2,
211,18,Jakobi Meyers,WR,JAC,142.3,-20.8,142.2,
212,18,Omar Speights,LB,LAR,112,-20.9,168.1,
213,18,Chris Godwin Jr.,WR,TB,141.8,-21.3,141.8,
214,18,Jordan Addison,WR,MIN,141.4,-21.7,141.4,
215,18,Kool-Aid McKinstry,DB,NO,111.1,-21.8,167.4,
216,18,Rachaad White,RB,WAS,143.2,-21.9,143.2,
217,19,C.J. Gardner-Johnson,DB,BUF,110.9,-22,167.6,
218,19,Paulson Adebo,DB,NYG,110.7,-22.2,166.4,
219,19,Baker Mayfield,QB,TB,320.7,-22.3,281.8,
220,19,Brandon Jones,DB,DEN,110.6,-22.3,167.3,
221,19,Zayne Anderson,LB,MIA,110.5,-22.4,167.2,
222,19,T.J. Hockenson,TE,MIN,108.9,-22.5,108.9,
223,19,Jevon Holland,DB,NYG,110.2,-22.7,165.8,
224,19,Ty Okada,DB,SEA,110.2,-22.7,165.8,
225,19,Devon Witherspoon,DB,SEA,110,-22.9,165.9,
226,19,Jaylon Carlies,LB,IND,110,-22.9,165.2,
227,19,Reed Blankenship,DB,HOU,109.2,-23.7,165.3,
228,19,Jalen Ramsey,DB,PIT,109.1,-23.8,163.5,
229,20,Pat Freiermuth,TE,PIT,107.6,-23.8,107.6,
230,20,Dillon Thieneman,DB,CHI,109,-23.9,165.3,
231,20,Jordan Love,QB,GB,319,-24,275.6,
232,20,Aaron Jones Sr.,RB,MIN,141.1,-24,141.1,
233,20,Xavier Worthy,WR,KC,139.1,-24,139.1,
234,20,Jacory Croskey-Merritt,RB,WAS,141,-24.1,141.1,
235,20,Wan'Dale Robinson,WR,TEN,139,-24.1,139.1,
236,20,Carlton Davis III,DB,NE,108.6,-24.3,163.3,
237,20,Jalen Pitre,DB,HOU,108.6,-24.3,163.3,
238,20,Nate Wiggins,DB,BAL,108.5,-24.4,163.4,
239,20,Bryan Cook,DB,CIN,108.4,-24.5,163,
240,20,De'Zhaun Stribling,WR,SF,138.4,-24.7,138.4,
241,21,Andrew Van Ginkel,LB,MIN,108.2,-24.7,160.6,
242,21,Julian Love,DB,SEA,108,-24.9,163.7,
